strategy_id,candidate_id,feature_snapshot_id,trading_date,signal_ts_ns,signal_ts_utc,direction,regime_label,entry_price,stop_price,target_prices,exit_ts_ns,exit_ts_utc,exit_price_weighted,exit_reason,holding_minutes,gross_points,gross_usd,round_turn_cost_usd,net_usd,mfe_points,mae_points,dynamic_target_rr
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2025-06-24-1750776300000000000-opening_range_box_breakout_long,bt-mnq-12mo-2025-06-24-1750776300000000000,2025-06-24,1750776300000000000,2025-06-24T14:45:00.000000000Z,long,low,22333.75,22259.5,pt1:22408|pt2:22482.25,1750795140000000000,2025-06-24T19:59:00.000000000Z,22406.625,pt1_then_rth_close,314,72.875,145.75,2,143.75,114,33.75,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-06-24-1750776300000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-06-24-1750776300000000000,2025-06-24,1750776300000000000,2025-06-24T14:45:00.000000000Z,long,low,22333.75,22259.5,pt1:22408|pt2:22482.25,1750795140000000000,2025-06-24T19:59:00.000000000Z,22406.625,pt1_then_rth_close,314,72.875,145.75,2,143.75,114,33.75,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-06-25-1750862160000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-06-25-1750862160000000000,2025-06-25,1750862160000000000,2025-06-25T14:36:00.000000000Z,long,low,22495.5,22462.25,pt1:22528.75|pt2:22562,1750863840000000000,2025-06-25T15:04:00.000000000Z,22462.25,stop,28,-33.25,-66.5,2,-68.5,29,36.25,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2025-06-26-1750947720000000000-opening_range_box_breakout_long,bt-mnq-12mo-2025-06-26-1750947720000000000,2025-06-26,1750947720000000000,2025-06-26T14:22:00.000000000Z,long,low,22567,22475.75,pt1:22658.25|pt2:22749.5,1750967940000000000,2025-06-26T19:59:00.000000000Z,22665.75,pt1_then_rth_close,337,98.75,197.5,2,195.5,125.75,17.25,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-06-26-1750947720000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-06-26-1750947720000000000,2025-06-26,1750947720000000000,2025-06-26T14:22:00.000000000Z,long,low,22567,22475.75,pt1:22658.25|pt2:22749.5,1750967940000000000,2025-06-26T19:59:00.000000000Z,22665.75,pt1_then_rth_close,337,98.75,197.5,2,195.5,125.75,17.25,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2025-06-27-1751034780000000000-opening_range_box_breakout_long,bt-mnq-12mo-2025-06-27-1751034780000000000,2025-06-27,1751034780000000000,2025-06-27T14:33:00.000000000Z,long,low,22770.75,22681.5,pt1:22860|pt2:22949.25,1751048340000000000,2025-06-27T18:19:00.000000000Z,22681.5,stop,226,-89.25,-178.5,2,-180.5,49.25,94.25,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-06-27-1751034780000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-06-27-1751034780000000000,2025-06-27,1751034780000000000,2025-06-27T14:33:00.000000000Z,long,low,22770.75,22681.5,pt1:22860|pt2:22949.25,1751048340000000000,2025-06-27T18:19:00.000000000Z,22681.5,stop,226,-89.25,-178.5,2,-180.5,49.25,94.25,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-06-30-1751306400000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-06-30-1751306400000000000,2025-06-30,1751306400000000000,2025-06-30T18:00:00.000000000Z,long,low,22830.75,22784.5,pt1:22877|pt2:22923.25,1751308920000000000,2025-06-30T18:42:00.000000000Z,22784.5,stop,42,-46.25,-92.5,2,-94.5,9.75,50.75,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2025-06-30-1751311260000000000-opening_range_box_breakout_long,bt-mnq-12mo-2025-06-30-1751311260000000000,2025-06-30,1751311260000000000,2025-06-30T19:21:00.000000000Z,long,low,22876,22794.5,pt1:22957.5|pt2:23039,1751313540000000000,2025-06-30T19:59:00.000000000Z,22885.75,rth_close,38,9.75,19.5,2,17.5,58,10,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-06-30-1751311260000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-06-30-1751311260000000000,2025-06-30,1751311260000000000,2025-06-30T19:21:00.000000000Z,long,low,22876,22794.5,pt1:22957.5|pt2:23039,1751313540000000000,2025-06-30T19:59:00.000000000Z,22885.75,rth_close,38,9.75,19.5,2,17.5,58,10,
