universe,management,year,trades,net_usd,gross_profit_usd,gross_loss_usd,profit_factor,win_rate,avg_trade_usd,max_drawdown_usd,pnl_to_max_drawdown,stop_hit_count,pt1_hit_count,pt2_hit_count,avg_pt_single_r,avg_pt1_r,avg_pt2_r
all_breakout_long,original_2contract_scaled_after_warmup,2020,58,188.5,5546.5,5358,1.0352,0.5517,3.25,859,0.2194,0,0,0,0.765122,0.436245,0.996922
all_breakout_long,original_2contract_scaled_after_warmup,2021,86,2399.5,10435.5,8036,1.2986,0.5814,27.9012,1077.5,2.2269,0,0,0,0.68478,0.433805,0.912424
all_breakout_long,original_2contract_scaled_after_warmup,2022,90,5644.5,17944.5,12300,1.4589,0.5556,62.7167,1663,3.3942,0,0,0,0.684795,0.432214,0.939026
all_breakout_long,original_2contract_scaled_after_warmup,2023,101,4202.5,13672.5,9470,1.4438,0.5644,41.6089,2834,1.4829,0,0,0,0.755048,0.42556,0.997506
all_breakout_long,original_2contract_scaled_after_warmup,2024,85,3838,13145,9307,1.4124,0.6,45.1529,2266.5,1.6934,0,0,0,0.765624,0.442967,1.052049
all_breakout_long,original_2contract_scaled_after_warmup,2025,81,3981.5,13548.5,9567,1.4162,0.5926,49.1543,3534.5,1.1265,0,0,0,0.764695,0.443361,1.049746
all_breakout_long,original_2contract_scaled_after_warmup,2026,30,4346,7670,3324,2.3075,0.6667,144.8667,735,5.9129,0,0,0,0.760933,0.431974,1.010535
all_breakout_long,single_dynamic_pt_2contracts,2020,58,234.06,5199.06,4965,1.0471,0.6034,4.0356,738.3,0.317,17,21,0,0.765122,,
all_breakout_long,single_dynamic_pt_2contracts,2021,86,471.15,7938.15,7467,1.0631,0.6163,5.4784,1370.77,0.3437,21,35,0,0.68478,,
all_breakout_long,single_dynamic_pt_2contracts,2022,90,2978.83,14752.83,11774,1.253,0.6333,33.0982,3152,0.9451,21,47,0,0.684795,,
all_breakout_long,single_dynamic_pt_2contracts,2023,101,3729.4,12034.4,8305,1.4491,0.6535,36.9248,2280.63,1.6353,26,50,0,0.755048,,
all_breakout_long,single_dynamic_pt_2contracts,2024,85,993.91,10300.91,9307,1.1068,0.6,11.693,2431.09,0.4088,25,35,0,0.765624,,
all_breakout_long,single_dynamic_pt_2contracts,2025,81,4000.07,12974.07,8974,1.4457,0.642,49.3835,2982.73,1.3411,15,35,0,0.764695,,
all_breakout_long,single_dynamic_pt_2contracts,2026,30,4446.16,7521.16,3075,2.4459,0.7,148.2053,774.77,5.7386,5,13,0,0.760933,,
all_breakout_long,two_dynamic_pt_1contract_each,2020,58,21.37,4413.5,4392.13,1.0049,0.6034,0.3684,922.98,0.0232,18,32,15,,0.436245,0.996922
all_breakout_long,two_dynamic_pt_1contract_each,2021,86,1074.91,7276.35,6201.44,1.1733,0.593,12.499,801.62,1.3409,23,49,26,,0.433805,0.912424
