factor,bucket,trades,net_usd,profit_factor,win_rate,avg_net_usd,avg_or_size_to_prior_range,avg_first30_volume_ratio,avg_gap_to_prior_range,avg_vwap_distance_atr,avg_mfe_30m,avg_mae_30m,avg_mfe_60m,avg_mae_60m,avg_mfe_120m,avg_mae_120m,avg_mfe_60m_to_risk,avg_mae_60m_to_risk
opening_range_size_to_prior_range,<=0.20,7,283.75,3.8518,0.5714,40.5357,0.163315,0.295515,0.079484,3.294904,9.5714,15.4286,16.8214,20.7143,29.0357,22.5,0.445463,0.447879
opening_range_size_to_prior_range,>0.75,93,289,1.0492,0.5914,3.1075,1.285714,1.065114,-0.31707,4.725219,25.5753,30.8925,33.7204,39.7823,43.9355,57.7608,0.32051,0.350968
opening_range_size_to_prior_range,0.20-0.35,148,2845.75,1.4177,0.5473,19.228,0.294201,0.849557,0.061859,3.143992,27.5017,31.2922,36.4848,41.1757,50.647,50.4493,0.564305,0.654464
opening_range_size_to_prior_range,0.35-0.50,206,1772.25,1.1494,0.5388,8.6032,0.426528,0.952512,0.108469,3.661505,27.1529,27.7852,34.9891,39.2876,47.0983,53.5255,0.443294,0.505567
opening_range_size_to_prior_range,0.50-0.75,176,7987.25,2.0649,0.6307,45.3821,0.613341,1.015797,-0.001969,3.919093,26.6989,23.3849,35.7443,31.4162,46.3608,40.267,0.389381,0.332822
opening_range_size_to_prior_range,missing,1,108,,1,108,0,0,0,3.111874,15.25,11.5,26.5,11.5,34,11.5,0.343042,0.148867
first30_volume_ratio,<=0.75,107,3148.5,1.6681,0.5701,29.4252,0.49611,0.558761,0.089438,3.178077,24.2407,27.8762,32.722,33.4953,45.1799,44.3668,0.48221,0.506005
first30_volume_ratio,>1.50,15,-65.5,0.9334,0.4667,-4.3667,0.72018,1.64957,-0.125512,3.837613,28.2833,27.8,35,39.8667,48.1833,66.5167,0.417014,0.424449
first30_volume_ratio,0.75-1.00,264,5346.5,1.416,0.5644,20.2519,0.527779,0.885439,0.053162,3.566766,26.8163,27.7509,36.0142,38.5795,48.8958,49.9706,0.461739,0.515449
first30_volume_ratio,1.00-1.25,186,1651.5,1.1466,0.5699,8.879,0.621336,1.100126,-0.058807,4.077749,26.539,26.7984,34.2325,37.6882,44.8683,50.7191,0.390205,0.414447
first30_volume_ratio,1.25-1.50,58,3097,2.3272,0.6724,53.3966,0.711734,1.361142,-0.147617,4.726634,30.5948,30.0216,38.8103,37.6595,48.8922,47.2069,0.413165,0.37387
first30_volume_ratio,missing,1,108,,1,108,0,0,0,3.111874,15.25,11.5,26.5,11.5,34,11.5,0.343042,0.148867
breakout_time_bucket,10:00-10:30,245,5909.75,1.4148,0.551,24.1214,0.596845,0.938846,0.004612,2.829635,29.7827,29.9245,39.8245,40.3316,53.2143,54.25,0.484152,0.509975
breakout_time_bucket,10:30-11:00,108,1642.5,1.2692,0.5185,15.2083,0.53175,0.914374,-0.147369,2.704022,27.287,30.7245,34.5718,41.8009,45.5069,53.4884,0.435973,0.531222
breakout_time_bucket,11:00-12:00,111,4097.75,1.7793,0.6396,36.9167,0.539366,1.00531,0.069143,4.04012,24.8896,23.5405,32.6757,32.75,45.2928,42.8423,0.383136,0.376837
breakout_time_bucket,12:00-13:00,55,1677.25,1.824,0.6545,30.4955,0.665069,0.971869,0.064249,4.802502,21.6409,21.4773,29.2364,30.3545,40.3455,46.7682,0.345385,0.352598
breakout_time_bucket,13:00-14:00,42,554,1.2785,0.6429,13.1905,0.581446,0.970821,-0.2107,5.399434,19.994,26.1845,27.7976,35.0714,44.3512,46.875,0.30534,0.378759
breakout_time_bucket,14:00+,70,-595.25,0.7635,0.5429,-8.5036,0.507771,0.961001,0.209269,6.432864,25.5286,27.4214,32.65,34.275,37.4179,39.3714,0.522636,0.515184
prior_day_trend_state,missing,1,108,,1,108,0,0,0,3.111874,15.25,11.5,26.5,11.5,34,11.5,0.343042,0.148867
prior_day_trend_state,prior_down,74,2862.5,1.8718,0.5946,38.6824,0.616557,0.927045,-0.014797,3.753263,28.4966,24.7196,35.9696,34.1588,47.8615,44.3041,0.42204,0.395659
prior_day_trend_state,prior_down_large,171,6467.25,1.752,0.5965,37.8202,0.588411,1.004499,0.13374,3.849667,28.1857,29.867,36.6301,38.4868,48.8553,49.3743,0.429368,0.465418
prior_day_trend_state,prior_flat,2,170,,1,85,0.474823,0.82,0.111853,4.501847,21.75,26.125,35.125,26.125,58.625,26.125,0.715888,0.381436
prior_day_trend_state,prior_up,89,711.25,1.1487,0.5506,7.9916,0.585173,0.945087,0.037312,3.422451,25.5702,29.4522,33.4494,39.1854,46.6039,54.6292,0.443632,0.519947
prior_day_trend_state,prior_up_large,294,2967,1.1916,0.5612,10.0918,0.546924,0.937867,-0.078561,3.817056,25.716,26.6726,34.6241,37.1173,45.8699,49.2287,0.444641,0.474341
gap_direction,flat,1,137.5,,1,137.5,0.242667,0.59865,0,-0.109002,33.5,8.75,47.25,8.75,83.5,8.75,1.016129,0.188172
gap_direction,gap_down,289,4819.25,1.3043,0.5813,16.6756,0.625396,0.99405,-0.556679,3.578078,28.3573,29.1782,37.2604,38.4282,49.6704,49.9005,0.454215,0.447557
gap_direction,gap_up,340,8221.25,1.504,0.5676,24.1801,0.526727,0.923463,0.479712,3.934986,25.2338,26.5015,33.3434,36.6081,44.7309,49.0559,0.423553,0.487727
gap_direction,missing,1,108,,1,108,0,0,0,3.111874,15.25,11.5,26.5,11.5,34,11.5,0.343042,0.148867
gap_abs_to_prior_range,<=0.05,52,1186.5,1.5401,0.6154,22.8173,0.416909,0.839441,0.007458,3.544998,20.4423,24.125,29.4087,34.2885,38.4375,39.1731,0.442506,0.468887
gap_abs_to_prior_range,>0.35,302,9269.5,1.6722,0.6026,30.6937,0.674922,0.986254,-0.002802,3.765371,27.2591,25.3195,35.8526,34.1184,48.5786,46.5166,0.441204,0.417523
gap_abs_to_prior_range,0.05-0.10,50,-1095.25,0.7134,0.44,-21.905,0.447318,0.98926,0.017419,3.093176,33.515,30.245,42.725,42.615,57.035,56.305,0.547335,0.569376
gap_abs_to_prior_range,0.10-0.20,101,502.5,1.0934,0.5248,4.9752,0.483337,0.930363,0.006871,3.951348,22.7525,33.8713,29.646,41.7723,39.1163,54.5743,0.377874,0.542077
gap_abs_to_prior_range,0.20-0.35,125,3314.75,1.4762,0.584,26.518,0.507044,0.935416,0.008924,3.972993,28.314,28.94,37.32,40.998,49.398,53.574,0.436051,0.493335
gap_abs_to_prior_range,missing,1,108,,1,108,0,0,0,3.111874,15.25,11.5,26.5,11.5,34,11.5,0.343042,0.148867
vwap_distance_atr,<=0,23,418.25,1.2841,0.4783,18.1848,0.548172,0.917447,-0.060353,-1.087952,27.3804,32.9565,36.2935,50.8913,52.6522,63.5,0.412285,0.549185
vwap_distance_atr,>4,213,5556,1.6819,0.6573,26.0845,0.612977,0.986171,0.093791,6.52592,22.6901,21.1174,29.6737,27.4096,38.2782,37.5153,0.3466,0.323156
vwap_distance_atr,0-1,17,307.5,1.2879,0.5294,18.0882,0.435611,0.876062,0.023304,0.707721,29.0294,40.9265,36.2647,55.0735,54.1471,56.5441,0.523466,0.80384
vwap_distance_atr,1-2,85,2016.5,1.3969,0.5412,23.7235,0.510935,0.922587,-0.049251,1.591272,33.6824,37.5088,43.6529,47.7853,57.7824,60.5118,0.576565,0.613062
vwap_distance_atr,2-3,155,606.5,1.0645,0.4839,3.9129,0.492236,0.931286,-0.052504,2.480279,27.579,29.5226,36.3774,40.921,46.9145,54.8161,0.490573,0.549407
vwap_distance_atr,3-4,138,4381.25,1.6281,0.5942,31.7482,0.650476,0.964047,-0.032168,3.465449,27.0254,27.154,36.6522,37.8496,52.2663,51.2174,0.4303,0.457327
early_continuation_vs_late_chase,early_continuation,353,7552.25,1.3711,0.5411,21.3945,0.576929,0.931359,-0.041887,2.791204,29.0191,30.1693,38.2174,40.7812,50.8562,54.017,0.469412,0.516475
early_continuation_vs_late_chase,late_chase,112,-41.25,0.9908,0.5804,-0.3683,0.535399,0.964683,0.051781,6.045328,23.4531,26.9576,30.8304,34.5737,40.0179,42.1853,0.44115,0.464025
early_continuation_vs_late_chase,midday_breakout,166,5775,1.7918,0.6446,34.7892,0.581014,0.99423,0.067521,4.292717,23.8133,22.8569,31.5361,31.9563,43.6536,44.1431,0.370628,0.368806
