"trading_date","trades","net_pnl_usd","profit_factor","win_rate"
"2025-04-30","1","595.75",,"1"
"2025-04-24","1","471.25",,"1"
"2026-05-08","1","454.5",,"1"
"2022-03-18","1","412.25",,"1"
"2025-03-19","1","408.25",,"1"
"2022-06-02","1","385.75",,"1"
"2026-04-13","1","376.5",,"1"
"2022-07-27","1","375.25",,"1"
"2022-03-15","1","367.75",,"1"
"2022-04-28","1","366",,"1"
"2022-11-10","1","357.75",,"1"
"2025-03-21","1","344.25",,"1"
"2026-01-21","1","341.5",,"1"
"2021-03-17","1","328",,"1"
"2020-04-06","1","319.75",,"1"
"2022-06-24","1","307.25",,"1"
"2024-01-08","1","294.75",,"1"
"2022-07-05","1","289",,"1"
"2024-10-29","1","285.25",,"1"
"2026-01-09","1","283.25",,"1"
"2022-08-03","1","281",,"1"
"2025-04-22","1","278",,"1"
"2026-04-15","1","273.25",,"1"
"2023-01-20","1","271",,"1"
"2020-07-20","1","268.75",,"1"
