"trading_date","trades","daily_net_usd","equity","peak","drawdown","peak_date"
"2019-05-06","1","108","108","108","0","2019-05-06"
"2019-05-09","1","51","159","159","0","2019-05-09"
"2019-05-10","1","49.75","208.75","208.75","0","2019-05-10"
"2019-05-14","1","64.25","273","273","0","2019-05-14"
"2019-05-15","1","148","421","421","0","2019-05-15"
"2019-05-17","1","-108.5","312.5","421","108.5","2019-05-15"
"2019-05-20","1","-62.5","250","421","171","2019-05-15"
"2019-05-22","2","-117.5","132.5","421","288.5","2019-05-15"
"2019-05-29","1","-71","61.5","421","359.5","2019-05-15"
"2019-05-31","1","-79.5","-18","421","439","2019-05-15"
"2019-06-06","1","70.5","52.5","421","368.5","2019-05-15"
"2019-06-07","1","108.5","161","421","260","2019-05-15"
"2019-06-17","1","-42.5","118.5","421","302.5","2019-05-15"
"2019-06-18","1","-87.5","31","421","390","2019-05-15"
"2019-06-19","1","18","49","421","372","2019-05-15"
"2019-07-05","1","59.75","108.75","421","312.25","2019-05-15"
"2019-07-09","1","83","191.75","421","229.25","2019-05-15"
"2019-07-18","2","-45","146.75","421","274.25","2019-05-15"
"2019-07-23","1","12.5","159.25","421","261.75","2019-05-15"
"2019-07-24","1","85.5","244.75","421","176.25","2019-05-15"
"2019-07-26","1","-15.5","229.25","421","191.75","2019-05-15"
"2019-07-30","1","-10.5","218.75","421","202.25","2019-05-15"
"2019-08-19","1","-36.5","182.25","421","238.75","2019-05-15"
"2019-08-20","1","-86.5","95.75","421","325.25","2019-05-15"
"2019-09-05","1","31.5","127.25","421","293.75","2019-05-15"
"2019-09-06","1","-44","83.25","421","337.75","2019-05-15"
"2019-09-10","1","35","118.25","421","302.75","2019-05-15"
"2019-09-12","1","-75.5","42.75","421","378.25","2019-05-15"
"2019-09-13","1","-72","-29.25","421","450.25","2019-05-15"
"2019-09-17","1","40.5","11.25","421","409.75","2019-05-15"
"2019-10-07","1","10.5","21.75","421","399.25","2019-05-15"
"2019-10-08","1","-107","-85.25","421","506.25","2019-05-15"
"2019-10-09","1","4.5","-80.75","421","501.75","2019-05-15"
"2019-10-11","2","-158.5","-239.25","421","660.25","2019-05-15"
"2019-10-14","1","-26","-265.25","421","686.25","2019-05-15"
"2019-10-15","1","93.25","-172","421","593","2019-05-15"
"2019-10-23","1","15.5","-156.5","421","577.5","2019-05-15"
"2019-10-24","1","20","-136.5","421","557.5","2019-05-15"
"2019-10-25","1","105.25","-31.25","421","452.25","2019-05-15"
"2019-11-01","2","-33.5","-64.75","421","485.75","2019-05-15"
"2019-11-08","1","53","-11.75","421","432.75","2019-05-15"
"2019-11-18","1","35","23.25","421","397.75","2019-05-15"
"2019-11-25","1","44.5","67.75","421","353.25","2019-05-15"
"2019-12-10","1","-27","40.75","421","380.25","2019-05-15"
"2019-12-12","1","-1","39.75","421","381.25","2019-05-15"
"2020-01-08","1","80.25","120","421","301","2019-05-15"
"2020-01-15","1","-75","45","421","376","2019-05-15"
"2020-01-17","1","3","48","421","373","2019-05-15"
"2020-01-22","1","-67.5","-19.5","421","440.5","2019-05-15"
"2020-01-23","1","49.5","30","421","391","2019-05-15"
"2020-02-10","1","146","176","421","245","2019-05-15"
"2020-02-13","1","20.5","196.5","421","224.5","2019-05-15"
"2020-02-18","1","23.5","220","421","201","2019-05-15"
"2020-02-19","1","18.5","238.5","421","182.5","2019-05-15"
"2020-02-20","1","-69.5","169","421","252","2019-05-15"
"2020-04-01","1","-149","20","421","401","2019-05-15"
"2020-04-06","1","319.75","339.75","421","81.25","2019-05-15"
"2020-04-08","1","111.5","451.25","451.25","0","2020-04-08"
"2020-04-13","1","153.5","604.75","604.75","0","2020-04-13"
"2020-04-14","1","174","778.75","778.75","0","2020-04-14"
"2020-04-15","1","94","872.75","872.75","0","2020-04-15"
"2020-04-16","2","100.5","973.25","973.25","0","2020-04-16"
"2020-04-20","1","-2","971.25","973.25","2","2020-04-16"
"2020-04-23","1","-168.5","802.75","973.25","170.5","2020-04-16"
"2020-04-24","1","186.75","989.5","989.5","0","2020-04-24"
"2020-04-27","1","-100","889.5","989.5","100","2020-04-24"
"2020-05-01","1","-129.5","760","989.5","229.5","2020-04-24"
"2020-05-04","1","166","926","989.5","63.5","2020-04-24"
"2020-05-05","1","-129","797","989.5","192.5","2020-04-24"
"2020-05-06","1","-125","672","989.5","317.5","2020-04-24"
"2020-05-07","1","-36","636","989.5","353.5","2020-04-24"
"2020-05-08","1","78.5","714.5","989.5","275","2020-04-24"
"2020-05-11","1","137.75","852.25","989.5","137.25","2020-04-24"
"2020-05-13","1","-201.5","650.75","989.5","338.75","2020-04-24"
"2020-05-15","1","201","851.75","989.5","137.75","2020-04-24"
"2020-05-18","1","82","933.75","989.5","55.75","2020-04-24"
"2020-05-19","1","-135.5","798.25","989.5","191.25","2020-04-24"
"2020-05-20","1","34","832.25","989.5","157.25","2020-04-24"
"2020-05-22","1","11","843.25","989.5","146.25","2020-04-24"
"2020-05-29","1","-128.5","714.75","989.5","274.75","2020-04-24"
"2020-06-01","1","50.5","765.25","989.5","224.25","2020-04-24"
"2020-06-02","2","-3.5","761.75","989.5","227.75","2020-04-24"
"2020-06-03","1","-7","754.75","989.5","234.75","2020-04-24"
