"trading_date","trades","daily_net_usd","equity","peak","drawdown","peak_date"
"2025-06-02","1","147.5","11914.25","12195.75","281.5","2025-05-06"
"2025-06-03","1","192.5","12106.75","12195.75","89","2025-05-06"
"2025-06-04","1","-75","12031.75","12195.75","164","2025-05-06"
"2025-06-05","1","-300.5","11731.25","12195.75","464.5","2025-05-06"
"2025-06-09","1","-6","11725.25","12195.75","470.5","2025-05-06"
"2025-06-10","1","145.25","11870.5","12195.75","325.25","2025-05-06"
"2025-06-11","1","-223.5","11647","12195.75","548.75","2025-05-06"
"2025-06-12","1","119.25","11766.25","12195.75","429.5","2025-05-06"
"2025-06-13","1","-269.5","11496.75","12195.75","699","2025-05-06"
"2025-06-16","1","4.5","11501.25","12195.75","694.5","2025-05-06"
"2025-06-17","1","-172","11329.25","12195.75","866.5","2025-05-06"
"2025-06-18","1","-202.5","11126.75","12195.75","1069","2025-05-06"
"2025-06-23","1","-345.5","10781.25","12195.75","1414.5","2025-05-06"
"2025-06-24","1","143.75","10925","12195.75","1270.75","2025-05-06"
"2025-06-26","1","195.5","11120.5","12195.75","1075.25","2025-05-06"
"2025-06-27","1","-180.5","10940","12195.75","1255.75","2025-05-06"
"2025-06-30","1","17.5","10957.5","12195.75","1238.25","2025-05-06"
"2025-07-04","1","-61","10896.5","12195.75","1299.25","2025-05-06"
"2025-07-09","1","-242.5","10654","12195.75","1541.75","2025-05-06"
"2025-07-11","1","-28","10626","12195.75","1569.75","2025-05-06"
"2025-07-14","1","108","10734","12195.75","1461.75","2025-05-06"
"2025-07-21","1","-106.5","10627.5","12195.75","1568.25","2025-05-06"
"2025-07-23","1","117.5","10745","12195.75","1450.75","2025-05-06"
"2025-07-24","1","-51.5","10693.5","12195.75","1502.25","2025-05-06"
"2025-07-25","1","26.5","10720","12195.75","1475.75","2025-05-06"
"2025-07-30","1","-156.5","10563.5","12195.75","1632.25","2025-05-06"
"2025-08-11","1","-132","10431.5","12195.75","1764.25","2025-05-06"
"2025-08-12","1","248","10679.5","12195.75","1516.25","2025-05-06"
"2025-08-14","1","-80.5","10599","12195.75","1596.75","2025-05-06"
"2025-08-18","1","-170.5","10428.5","12195.75","1767.25","2025-05-06"
"2025-08-26","1","134","10562.5","12195.75","1633.25","2025-05-06"
"2025-08-27","1","130","10692.5","12195.75","1503.25","2025-05-06"
"2025-08-28","1","43","10735.5","12195.75","1460.25","2025-05-06"
"2025-09-02","1","29.5","10765","12195.75","1430.75","2025-05-06"
"2025-09-04","1","207.5","10972.5","12195.75","1223.25","2025-05-06"
"2025-09-09","1","16","10988.5","12195.75","1207.25","2025-05-06"
"2025-09-11","1","25","11013.5","12195.75","1182.25","2025-05-06"
"2025-09-15","1","95.5","11109","12195.75","1086.75","2025-05-06"
"2025-09-19","1","85.5","11194.5","12195.75","1001.25","2025-05-06"
"2025-09-29","1","-217.5","10977","12195.75","1218.75","2025-05-06"
"2025-09-30","1","131","11108","12195.75","1087.75","2025-05-06"
