"month","trades","net_pnl_usd","profit_factor","win_rate","avg_net_trade_usd"
"2019-05","11","-18","0.959","0.4545","-1.64"
"2019-06","5","67","1.5154","0.6","13.4"
"2019-07","8","169.75","2.6014","0.625","21.22"
"2019-08","2","-123","0","0","-61.5"
"2019-09","6","-84.5","0.5587","0.5","-14.08"
"2019-10","10","-42.5","0.8542","0.6","-4.25"
"2019-11","5","99","2.5231","0.8","19.8"
"2019-12","2","-28","0","0","-14"
"2020-01","5","-9.75","0.9316","0.6","-1.95"
"2020-02","5","139","3","0.8","27.8"
"2020-04","12","720.5","2.7094","0.5833","60.04"
"2020-05","14","-174.75","0.8025","0.5","-12.48"
"2020-06","15","271","1.4701","0.5333","18.07"
"2020-07","10","151.5","1.2853","0.5","15.15"
"2020-08","13","-45.5","0.9394","0.4615","-3.5"
"2020-09","3","-19","0.892","0.3333","-6.33"
"2020-10","5","-127","0.5","0.4","-25.4"
"2020-11","10","-0.5","0.9988","0.7","-0.05"
"2020-12","17","134.75","1.2404","0.6471","7.93"
"2021-01","7","-281","0.3707","0.2857","-40.14"
"2021-02","6","33.25","1.1259","0.5","5.54"
"2021-03","7","-249","0.6289","0.4286","-35.57"
"2021-04","11","349.25","1.9936","0.7273","31.75"
"2021-05","8","-204.5","0.6338","0.25","-25.56"
"2021-06","11","527.5","2.9465","0.7273","47.95"
"2021-07","10","497","2.7562","0.7","49.7"
"2021-08","6","-84","0.7181","0.6667","-14"
"2021-09","5","290","7.5909","0.8","58"
"2021-10","6","282.75","1.754","0.6667","47.12"
"2021-11","7","120","1.3816","0.5714","17.14"
"2021-12","2","-81.5","0.422","0.5","-40.75"
"2022-01","2","-201","0.0313","0.5","-100.5"
"2022-02","6","-369.25","0.5439","0.3333","-61.54"
"2022-03","9","375","1.5411","0.4444","41.67"
"2022-04","5","-201","0.7452","0.4","-40.2"
"2022-05","5","-138.25","0.68","0.4","-27.65"
"2022-06","11","264","1.301","0.4545","24"
"2022-07","10","1996",,"1","199.6"
"2022-08","13","240.75","1.3575","0.6154","18.52"
"2022-09","11","3.25","1.004","0.4545","0.3"
"2022-10","3","-7","0.9721","0.6667","-2.33"
"2022-11","8","371.25","1.8946","0.5","46.41"
"2022-12","7","488.5","3.5711","0.7143","69.79"
"2023-01","9","782.75","3.3193","0.6667","86.97"
"2023-02","4","135.75","1.6285","0.5","33.94"
"2023-03","11","532.25","2.6817","0.6364","48.39"
"2023-04","10","-184","0.7383","0.5","-18.4"
"2023-05","10","99","1.2441","0.5","9.9"
"2023-06","9","-234.5","0.7007","0.4444","-26.06"
"2023-07","9","-372.75","0.3919","0.3333","-41.42"
"2023-08","5","-314.25","0.4009","0.4","-62.85"
"2023-09","10","-183","0.6127","0.5","-18.3"
"2023-10","3","306","154","0.6667","102"
"2023-11","10","592","4.1828","0.7","59.2"
"2023-12","11","942","6.3829","0.8182","85.64"
"2024-01","9","534.25","3.2122","0.6667","59.36"
"2024-02","6","-253.75","0.4429","0.3333","-42.29"
"2024-03","5","285.25","2.0744","0.6","57.05"
"2024-04","3","452.5",,"1","150.83"
"2024-05","13","241.5","1.4263","0.6154","18.58"
"2024-06","8","359.5","1.9782","0.75","44.94"
"2024-07","5","62.75","1.1946","0.6","12.55"
"2024-08","6","581.5","3.8228","0.6667","96.92"
"2024-09","7","-448","0.2387","0.4286","-64"
"2024-10","10","-290.5","0.725","0.4","-29.05"
"2024-11","6","314.25","3.7208","0.8333","52.38"
"2024-12","7","79.75","1.1704","0.5714","11.39"
"2025-01","4","-26.75","0.855","0.25","-6.69"
"2025-02","7","385.5","2.7133","0.5714","55.07"
"2025-03","4","920",,"1","230"
"2025-04","4","1532",,"1","383"
"2025-05","11","-166.25","0.7208","0.5455","-15.11"
"2025-06","17","-809.25","0.5441","0.4706","-47.6"
"2025-07","9","-394","0.3901","0.3333","-43.78"
"2025-08","7","172","1.4491","0.5714","24.57"
"2025-09","8","372.5","2.7126","0.875","46.56"
"2025-10","2","133.75","5.5339","0.5","66.88"
"2025-11","2","-316.5","0.2807","0.5","-158.25"
"2025-12","6","187.75","1.653","0.8333","31.29"
"2026-01","8","676.75","3.271","0.75","84.59"
"2026-02","2","149","2.8509","0.5","74.5"
"2026-03","3","147.5","1.7393","0.6667","49.17"
"2026-04","10","694.5","2.0154","0.7","69.45"
"2026-05","5","333.5","2.0863","0.6","66.7"
"2026-06","2","171.75","2.8468","0.5","85.88"
