"trading_date","trades","net_pnl_usd","profit_factor","win_rate"
"2025-11-04","1","-440","0","0"
"2022-02-10","1","-401","0","0"
"2022-08-08","1","-364","0","0"
"2025-06-23","1","-345.5","0","0"
"2024-10-25","1","-339.5","0","0"
"2022-04-08","1","-333","0","0"
"2022-09-26","1","-312","0","0"
"2024-10-03","1","-311","0","0"
"2022-06-14","1","-302","0","0"
"2025-06-05","1","-300.5","0","0"
"2023-08-04","1","-292","0","0"
"2022-05-16","1","-291","0","0"
"2025-12-02","1","-287.5","0","0"
"2021-10-11","1","-282.5","0","0"
"2026-04-23","1","-281","0","0"
"2026-01-20","1","-277","0","0"
"2023-04-26","2","-272","0","0"
"2025-06-13","1","-269.5","0","0"
"2020-12-03","3","-253.5","0","0"
"2022-09-02","1","-252.5","0","0"
"2020-10-06","2","-252","0","0"
"2022-10-11","1","-251","0","0"
"2022-02-03","1","-248","0","0"
"2025-07-09","1","-242.5","0","0"
"2024-09-17","1","-241","0","0"
