scenario,year,trades,net_usd,gross_profit_usd,gross_loss_usd,profit_factor,win_rate,avg_trade_usd,max_drawdown_usd,pnl_to_max_drawdown,avg_applied_risk_fraction,avg_raw_full_kelly_fraction,avg_continuous_contract_equivalent,discrete_positive_contract_trades
one_contract_actual,2019,49,39.75,1413.75,1374,1.0289,0.5306,0.8112,686.25,0.0579,0.00174041,0,1,49
one_contract_actual,2020,109,1040.25,5814.25,4774,1.2179,0.5596,9.5436,429.5,2.422,0.00264642,0,1,109
one_contract_actual,2021,86,1199.75,5217.75,4018,1.2986,0.5814,13.9506,538.75,2.2269,0.00295802,0,1,86
one_contract_actual,2022,90,2822.25,8972.25,6150,1.4589,0.5556,31.3583,831.5,3.3942,0.00459956,0,1,90
one_contract_actual,2023,101,2101.25,6836.25,4735,1.4438,0.5644,20.8045,1417,1.4829,0.00301396,0,1,101
one_contract_actual,2024,85,1919,6572.5,4653.5,1.4124,0.6,22.5765,1133.25,1.6934,0.003486,0,1,85
one_contract_actual,2025,81,1990.75,6774.25,4783.5,1.4162,0.5926,24.5772,1767.25,1.1265,0.0045442,0,1,81
one_contract_actual,2026,30,2173,3835,1662,2.3075,0.6667,72.4333,367.5,5.9129,0.006307,0,1,30
fixed_025pct_continuous,2019,49,21.46,2062.22,2040.76,1.0105,0.5306,0.438,970.38,0.0221,0.0025,0,1.538965,0
fixed_025pct_continuous,2020,109,643.07,5379.99,4736.92,1.1358,0.5596,5.8997,507.36,1.2675,0.0025,0.05653528,1.051477,0
fixed_025pct_continuous,2021,86,831.79,4397.4,3565.61,1.2333,0.5814,9.672,568.62,1.4628,0.0025,0.0362881,0.94582,0
fixed_025pct_continuous,2022,90,1805.95,5073.31,3267.37,1.5527,0.5556,20.0661,552.05,3.2714,0.0025,0.07881267,0.60656,0
fixed_025pct_continuous,2023,101,1757.09,5865.28,4108.19,1.4277,0.5644,17.3969,930.55,1.8882,0.0025,0.11876243,0.914991,0
fixed_025pct_continuous,2024,85,1626.39,5064.19,3437.8,1.4731,0.6,19.1341,615.39,2.6429,0.0025,0.13883658,0.835983,0
fixed_025pct_continuous,2025,81,1276.13,3945.77,2669.64,1.478,0.5926,15.7547,1036.95,1.2307,0.0025,0.1485526,0.636354,0
fixed_025pct_continuous,2026,30,775.4,1627.89,852.49,1.9096,0.6667,25.8467,194.55,3.9856,0.0025,0.15269156,0.464454,0
fixed_025pct_discrete_floor,2019,49,-124.75,1186.75,1311.5,0.9049,0.4694,-2.5459,692.75,-0.1801,0.0025,0,1.538965,44
fixed_025pct_discrete_floor,2020,109,630.5,2474.5,1844,1.3419,0.3119,5.7844,266,2.3703,0.0025,0.05653528,1.051477,60
