factor,bucket,trades,net_usd,gross_profit_usd,gross_loss_usd,profit_factor,win_rate,avg_net_usd,max_drawdown_usd,pnl_to_max_drawdown,avg_mfe_30m_to_risk,avg_mae_30m_to_risk,avg_mfe_60m_to_risk,avg_mae_60m_to_risk,avg_mfe_120m_to_risk,avg_mae_120m_to_risk
breakout_time_bucket,10:00-10:30,245,5909.75,20157.75,14248,1.4148,0.551,24.1214,1361,4.3422,0.339993,0.341612,0.484152,0.509975,0.607483,0.619307
breakout_time_bucket,10:30-11:00,108,1642.5,7745,6102.5,1.2692,0.5185,15.2083,1029.25,1.5958,0.32605,0.367124,0.435973,0.531222,0.543757,0.639127
breakout_time_bucket,11:00-12:00,111,4097.75,9355.75,5258,1.7793,0.6396,36.9167,613.25,6.682,0.273465,0.258642,0.383136,0.376837,0.497637,0.470713
breakout_time_bucket,12:00-13:00,55,1677.25,3712.75,2035.5,1.824,0.6545,30.4955,549,3.0551,0.240905,0.239083,0.345384,0.352598,0.449122,0.520619
breakout_time_bucket,13:00-14:00,42,554,2543,1989,1.2785,0.6429,13.1905,613,0.9038,0.203502,0.266509,0.30534,0.378759,0.451412,0.477099
breakout_time_bucket,14:00+,70,-595.25,1921.75,2517,0.7635,0.5429,-8.5036,992,-0.6001,0.335115,0.359962,0.522636,0.515184,0.491186,0.516831
prior_day_trend_state,missing,1,108,108,0,,1,108,0,,0.197411,0.148867,0.343042,0.148867,0.440129,0.148867
prior_day_trend_state,prior_down,74,2862.5,6146,3283.5,1.8718,0.5946,38.6824,519.25,5.5128,0.298415,0.258862,0.42204,0.395659,0.501203,0.46395
prior_day_trend_state,prior_down_large,171,6467.25,15067.75,8600.5,1.752,0.5965,37.8202,1484.25,4.3573,0.313617,0.332325,0.429368,0.465418,0.543605,0.549379
prior_day_trend_state,prior_flat,2,170,170,0,,1,85,0,,0.361746,0.434511,0.715888,0.381436,0.975052,0.434511
prior_day_trend_state,prior_up,89,711.25,5494.25,4783,1.1487,0.5506,7.9916,1313,0.5417,0.317831,0.366084,0.443632,0.519946,0.579274,0.679027
prior_day_trend_state,prior_up_large,294,2967,18450,15483,1.1916,0.5612,10.0918,1882.5,1.5761,0.299901,0.311057,0.444641,0.474341,0.534937,0.574107
opening_range_size_to_prior_range,<=0.20,7,283.75,383.25,99.5,3.8518,0.5714,40.5357,93,3.0511,0.22521,0.363025,0.445463,0.447879,0.683193,0.529412
opening_range_size_to_prior_range,>0.75,93,289,6166,5877,1.0492,0.5914,3.1075,1848,0.1564,0.212599,0.256799,0.32051,0.350968,0.365221,0.480146
opening_range_size_to_prior_range,0.20-0.35,148,2845.75,9659.25,6813.5,1.4177,0.5473,19.228,1039.25,2.7383,0.429657,0.488877,0.564305,0.654464,0.791254,0.788167
opening_range_size_to_prior_range,0.35-0.50,206,1772.25,13631.75,11859.5,1.1494,0.5388,8.6032,1656.75,1.0697,0.329873,0.337555,0.443294,0.505567,0.572185,0.650267
opening_range_size_to_prior_range,0.50-0.75,176,7987.25,15487.75,7500.5,2.0649,0.6307,45.3821,909.75,8.7796,0.276245,0.241957,0.389381,0.332822,0.479681,0.416631
opening_range_size_to_prior_range,missing,1,108,108,0,,1,108,0,,0.197411,0.148867,0.343042,0.148867,0.440129,0.148867
early_continuation_vs_late_chase,early_continuation,353,7552.25,27902.75,20350.5,1.3711,0.5411,21.3945,1627.25,4.6411,0.335861,0.349172,0.469412,0.516475,0.588598,0.62518
early_continuation_vs_late_chase,late_chase,112,-41.25,4464.75,4506,0.9908,0.5804,-0.3683,1156.5,-0.0357,0.277698,0.319193,0.44115,0.464025,0.473834,0.499498
early_continuation_vs_late_chase,midday_breakout,166,5775,13068.5,7293.5,1.7918,0.6446,34.7892,996.25,5.7967,0.262771,0.252219,0.370628,0.368806,0.481703,0.487104
