strategy_id,candidate_id,feature_snapshot_id,trading_date,signal_ts_ns,signal_ts_utc,direction,regime_label,entry_price,stop_price,target_prices,exit_ts_ns,exit_ts_utc,exit_price_weighted,exit_reason,holding_minutes,gross_points,gross_usd,round_turn_cost_usd,net_usd,mfe_points,mae_points,dynamic_target_rr
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2019-05-06-1557151860000000000-opening_range_box_breakout_long,bt-mnq-12mo-2019-05-06-1557151860000000000,2019-05-06,1557151860000000000,2019-05-06T14:11:00.000000000Z,long,low,7753.25,7676,pt1:7830.5|pt2:7907.75,1557172740000000000,2019-05-06T19:59:00.000000000Z,7808.25,rth_close,348,55,110,2,108,64.25,12,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2019-05-06-1557159060000000000-opening_range_box_regime_long,bt-mnq-12mo-2019-05-06-1557159060000000000,2019-05-06,1557159060000000000,2019-05-06T16:11:00.000000000Z,long,low,7753.25,7676,pt1:7830.5|pt2:7907.75,1557172740000000000,2019-05-06T19:59:00.000000000Z,7808.25,rth_close,228,55,110,2,108,64.25,12,
opening_range_box_breakout_short,candidate-bt-mnq-12mo-2019-05-07-1557237660000000000-opening_range_box_breakout_short,bt-mnq-12mo-2019-05-07-1557237660000000000,2019-05-07,1557237660000000000,2019-05-07T14:01:00.000000000Z,short,high,7694.75,7753.25,pt1:7636.25|pt2:7577.75,1557259140000000000,2019-05-07T19:59:00.000000000Z,7645,pt1_then_rth_close,358,49.75,99.5,2,97.5,113.25,15.75,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2019-05-09-1557413160000000000-opening_range_box_regime_long,bt-mnq-12mo-2019-05-09-1557413160000000000,2019-05-09,1557413160000000000,2019-05-09T14:46:00.000000000Z,long,low,7511.5,7480.75,pt1:7542.25|pt2:7573,1557419520000000000,2019-05-09T16:32:00.000000000Z,7557.625,pt2,106,46.125,92.25,2,90.25,63,24.25,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2019-05-09-1557419460000000000-opening_range_box_breakout_long,bt-mnq-12mo-2019-05-09-1557419460000000000,2019-05-09,1557419460000000000,2019-05-09T16:31:00.000000000Z,long,low,7566.25,7501.25,pt1:7631.25|pt2:7696.25,1557431940000000000,2019-05-09T19:59:00.000000000Z,7592.75,rth_close,208,26.5,53,2,51,50.75,11.25,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2019-05-09-1557428520000000000-opening_range_box_regime_long,bt-mnq-12mo-2019-05-09-1557428520000000000,2019-05-09,1557428520000000000,2019-05-09T19:02:00.000000000Z,long,low,7566.25,7501.25,pt1:7631.25|pt2:7696.25,1557431940000000000,2019-05-09T19:59:00.000000000Z,7592.75,rth_close,57,26.5,53,2,51,36.25,11.25,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2019-05-10-1557508800000000000-opening_range_box_regime_long,bt-mnq-12mo-2019-05-10-1557508800000000000,2019-05-10,1557508800000000000,2019-05-10T17:20:00.000000000Z,long,low,7554.5,7435,pt1:7674|pt2:7793.5,1557518340000000000,2019-05-10T19:59:00.000000000Z,7601.25,rth_close,159,46.75,93.5,2,91.5,82,10.75,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2019-05-10-1557514920000000000-opening_range_box_breakout_long,bt-mnq-12mo-2019-05-10-1557514920000000000,2019-05-10,1557514920000000000,2019-05-10T19:02:00.000000000Z,long,low,7588.25,7549.5,pt1:7627|pt2:7665.75,1557518340000000000,2019-05-10T19:59:00.000000000Z,7614.125,pt1_then_rth_close,57,25.875,51.75,2,49.75,48.25,10.25,
opening_range_box_breakout_short,candidate-bt-mnq-12mo-2019-05-13-1557757200000000000-opening_range_box_breakout_short,bt-mnq-12mo-2019-05-13-1557757200000000000,2019-05-13,1557757200000000000,2019-05-13T14:20:00.000000000Z,short,high,7374.75,7445.25,pt1:7304.25|pt2:7233.75,1557777540000000000,2019-05-13T19:59:00.000000000Z,7333.25,rth_close,339,41.5,83,2,81,62.25,22.5,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2019-05-14-1557844440000000000-opening_range_box_breakout_long,bt-mnq-12mo-2019-05-14-1557844440000000000,2019-05-14,1557844440000000000,2019-05-14T14:34:00.000000000Z,long,low,7395.5,7345.25,pt1:7445.75|pt2:7496,1557863940000000000,2019-05-14T19:59:00.000000000Z,7428.625,pt1_then_rth_close,325,33.125,66.25,2,64.25,64,7.25,
