file,line,tier,current_snippet,proposed_replacement,which_side
D:\Quant-futures-app\post_capture_rotate.ps1,34,1,AnalyticsRoot = D:\Quant-futures-app\tools\rithmic_analytics,env:ANALYTICS_ROOT,algo
D:\Quant-futures-app\post_capture_rotate.ps1,35,1,DashboardRoot = D:\Quant-futures-app\tools\rithmic_dashboard,env:DASHBOARD_ROOT,dashboard
D:\Quant-futures-app\post_capture_rotate.ps1,36,1,CalibrationOutDir = D:\Quant-futures-app\data\calibration,env:CALIB_ROOT,algo
D:\Quant-futures-app\run_live_realtime_stack.ps1,56,1,AnalyticsRoot = D:\Quant-futures-app\tools\rithmic_analytics,env:ANALYTICS_ROOT,algo
D:\Quant-futures-app\run_live_realtime_stack.ps1,57,1,DashboardRoot = D:\Quant-futures-app\tools\rithmic_dashboard,env:DASHBOARD_ROOT,dashboard
D:\Quant-futures-app\end_of_session_pipeline.ps1,55,1,AnalyticsRoot = D:\Quant-futures-app\tools\rithmic_analytics,env:ANALYTICS_ROOT,algo
D:\Quant-futures-app\end_of_session_pipeline.ps1,56,1,DashboardRoot = D:\Quant-futures-app\tools\rithmic_dashboard,env:DASHBOARD_ROOT,dashboard
D:\Quant-futures-app\end_of_session_pipeline.ps1,57,1,ShadowRoot = D:\Quant-futures-app\data\shadow_runs,env:SHADOW_ROOT,algo
D:\Quant-futures-app\end_of_session_pipeline.ps1,58,1,PredictionsRoot = D:\Quant-futures-app\data\predictions,env:PRED_ROOT,algo
D:\Quant-futures-app\end_of_session_pipeline.ps1,59,1,PerformanceRoot = D:\Quant-futures-app\data\performance,env:PERF_ROOT,algo
D:\Quant-futures-app\services\realtime_backend\calibration\compute_tail_cap.py,24,1,--captures-root D:/Quant-futures-app/tools/rithmic_analytics/...,--captures-root ${ANALYTICS_ROOT}/data/captures,algo
D:\Quant-futures-app\services\realtime_backend\calibration\compute_tail_cap.py,558,1,default=Path(D:/Quant-futures-app/tools/..captures),Path(getenv('ANALYTICS_ROOT',...)),algo
D:\Quant-futures-app\services\realtime_backend\calibration\compute_tail_cap.py,583,1,default=Path(D:/Quant-futures-app/data/calibration),Path(getenv('CALIB_ROOT',...)),algo
D:\Quant-futures-app\services\replay\tests\test_replay_dataset.py,172,1,root = Path(D:\Quant-futures-app\tools\rithmic_analytics),Path(getenv('ANALYTICS_ROOT')),algo
D:\Quant-futures-app\services\replay\tests\test_replay_dataset.py,180,1,dashboard_root=Path(D:\Quant-futures-app\tools\rithmic_dashboard),Path(getenv('DASHBOARD_ROOT')),dashboard
D:\Quant-futures-app\scripts\maintenance\repair_mbp1_at_eos.ps1,51,1,$RepoRoot = D:\Quant-futures-app,$RepoRoot = Split-Path $PSScriptRoot,?
D:\Quant-futures-app\tools\rithmic_dashboard\tests\test_cli_generate.py,19,1,D:/Quant-futures-app/tools/rithmic_analytics,getenv('ANALYTICS_ROOT'),algo
D:\Quant-futures-app\scripts\launch_mnq_dashboard_shell.ps1,30,1,AnalyticsRoot = D:\Quant-futures-app\tools\rithmic_analytics,env:ANALYTICS_ROOT,algo
